cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003315,C0014644,PART_OF,Antigen-Presenting Cells,Epstein-Barr Virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0003315,C0029341,PART_OF,Antigen-Presenting Cells,Orthomyxoviridae,cell,virs,1,PART_OF_CELLprtfVIRS
C0004561,C0019682,PART_OF,B-Lymphocytes,HIV,cell,virs,1,PART_OF_CELLprtfVIRS
C0004561,C0318855,PART_OF,B-Lymphocytes,Porcine epidemic diarrhea virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0004561,C0376536,PART_OF,B-Lymphocytes,Porcine respiratory and reproductive syndrome virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0004561,C1643847,PART_OF,B-Lymphocytes,Orthoretrovirinae,cell,virs,1,PART_OF_CELLprtfVIRS
C0004561,C1654342,PART_OF,B-Lymphocytes,Spumaretrovirinae,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0003725,PART_OF,Cultured Cell Line,Arboviruses,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0014644,PART_OF,Cultured Cell Line,Epstein-Barr Virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0019704,PART_OF,Cultured Cell Line,HIV-1,cell,virs,4,PART_OF_CELLprtfVIRS
C0007600,C0029343,PART_OF,Cultured Cell Line,"Influenza A Virus, Avian",cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0042776,PART_OF,Cultured Cell Line,Virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0085294,PART_OF,Cultured Cell Line,Hepatitis E virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0220847,PART_OF,Cultured Cell Line,Hepatitis C virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0318793,PART_OF,Cultured Cell Line,Zika Virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007635,C0008056,PART_OF,Cultured Cells,Chikungunya virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007635,C0021338,PART_OF,Cultured Cells,Infectious bursal disease virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007635,C0318855,PART_OF,Cultured Cells,Porcine epidemic diarrhea virus,cell,virs,3,PART_OF_CELLprtfVIRS
C0009013,C0004651,PART_OF,Clone Cells,Bacteriophages,cell,virs,76,PART_OF_CELLprtfVIRS
C0009013,C0010825,PART_OF,Clone Cells,Cytomegalovirus,cell,virs,2,PART_OF_CELLprtfVIRS
C0009013,C0011315,PART_OF,Clone Cells,Dengue Virus,cell,virs,2,PART_OF_CELLprtfVIRS
C0009013,C0014644,PART_OF,Clone Cells,Epstein-Barr Virus,cell,virs,2,PART_OF_CELLprtfVIRS
C0009013,C0016215,PART_OF,Clone Cells,Flavivirus,cell,virs,3,PART_OF_CELLprtfVIRS
C0009013,C0017161,PART_OF,Clone Cells,Transmissible gastroenteritis virus,cell,virs,2,PART_OF_CELLprtfVIRS
C0009013,C0019169,PART_OF,Clone Cells,Hepatitis B Virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0009013,C0019185,PART_OF,Clone Cells,Murine hepatitis virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0009013,C0019369,PART_OF,Clone Cells,Herpesviridae,cell,virs,2,PART_OF_CELLprtfVIRS
C0009013,C0019682,PART_OF,Clone Cells,HIV,cell,virs,1,PART_OF_CELLprtfVIRS
C0009013,C0019704,PART_OF,Clone Cells,HIV-1,cell,virs,1,PART_OF_CELLprtfVIRS
C0009013,C0028422,PART_OF,Clone Cells,Norwalk virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0009013,C0029347,PART_OF,Clone Cells,Influenza A virus,cell,virs,2,PART_OF_CELLprtfVIRS
C0009013,C0031886,PART_OF,Clone Cells,Family Picornaviridae,cell,virs,1,PART_OF_CELLprtfVIRS
C0009013,C0032092,PART_OF,Clone Cells,Plant Viruses,cell,virs,3,PART_OF_CELLprtfVIRS
C0009013,C0035366,PART_OF,Clone Cells,Retroviridae,cell,virs,2,PART_OF_CELLprtfVIRS
C0009013,C0035691,PART_OF,Clone Cells,RNA Viruses,cell,virs,2,PART_OF_CELLprtfVIRS
C0009013,C0037224,PART_OF,Clone Cells,Simian immunodeficiency virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0009013,C0042776,PART_OF,Clone Cells,Virus,cell,virs,30,PART_OF_CELLprtfVIRS
C0009013,C0043125,PART_OF,Clone Cells,West Nile virus,cell,virs,2,PART_OF_CELLprtfVIRS
