cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001280,C1425330,NEG_PRODUCES,Armed macrophage,P2RY12 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0003315,C0079189,NEG_PRODUCES,Antigen-Presenting Cells,cytokine,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0003315,C0123759,NEG_PRODUCES,Antigen-Presenting Cells,Interleukin-12,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004112,C0295166,NEG_PRODUCES,Astrocytes,STAT2 Transcription Factor,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004112,C0305052,NEG_PRODUCES,Astrocytes,Gamma globulin serum,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004561,C0085295,NEG_PRODUCES,B-Lymphocytes,Interleukin-10,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004561,C1334082,NEG_PRODUCES,B-Lymphocytes,IFNAR2 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004561,C1335872,NEG_PRODUCES,B-Lymphocytes,STAT1 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004561,C1418597,NEG_PRODUCES,B-Lymphocytes,PITX3 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0007600,C0021027,NEG_PRODUCES,Cultured Cell Line,Immunoglobulins,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0007600,C0021747,NEG_PRODUCES,Cultured Cell Line,Interferons,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0007600,C0913092,NEG_PRODUCES,Cultured Cell Line,DC-specific ICAM-3 grabbing nonintegrin,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0007600,C3641847,NEG_PRODUCES,Cultured Cell Line,Epstein-Barr Nuclear Antigen 2,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0011306,C0079189,NEG_PRODUCES,Dendritic Cells,cytokine,cell,aapp,2,NEG_PRODUCES_CELLnprodAAPP
C0014597,C0001924,NEG_PRODUCES,Epithelial Cells,Albumins,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0014597,C0016790,NEG_PRODUCES,Epithelial Cells,Fucosyltransferase,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0014597,C0042736,NEG_PRODUCES,Epithelial Cells,Viral Proteins,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0014597,C0056184,NEG_PRODUCES,Epithelial Cells,"Receptors, Complement 3d",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0014597,C1416475,NEG_PRODUCES,Epithelial Cells,IRF7 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0014597,C1420084,NEG_PRODUCES,Epithelial Cells,SLAMF1 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0016030,C0021740,NEG_PRODUCES,Fibroblasts,Recombinant Interferon-gamma,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0016030,C0623362,NEG_PRODUCES,Fibroblasts,Matrix Metalloproteinases,cell,aapp,2,NEG_PRODUCES_CELLnprodAAPP
C0016030,C1417511,NEG_PRODUCES,Fibroblasts,MX2 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C0021743,NEG_PRODUCES,HeLa Cells,Interferon Type I,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C0673013,NEG_PRODUCES,HeLa Cells,"GPER protein, human",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C1334078,NEG_PRODUCES,HeLa Cells,IFITM1 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C1417374,NEG_PRODUCES,HeLa Cells,MSR1 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C1417519,NEG_PRODUCES,HeLa Cells,MXRA8 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C1422064,NEG_PRODUCES,HeLa Cells,ACE2 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C1567292,NEG_PRODUCES,HeLa Cells,"Myosin Phosphatase Rho-Interacting Protein, human",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018894,C0079189,NEG_PRODUCES,Helper-Inducer T-Lymphocyte,cytokine,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018956,C1333887,NEG_PRODUCES,Hematopoietic stem cells,H19 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0020204,C0003250,NEG_PRODUCES,Hybridomas,Monoclonal Antibodies,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0022688,C1418597,NEG_PRODUCES,Natural Killer Cells,PITX3 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0022688,C3540595,NEG_PRODUCES,Natural Killer Cells,CD8A wt Allele,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0023005,C0913092,NEG_PRODUCES,Langerhans cell,DC-specific ICAM-3 grabbing nonintegrin,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0024264,C1420266,NEG_PRODUCES,Lymphocyte,SIGLEC1 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0024264,C1422064,NEG_PRODUCES,Lymphocyte,ACE2 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0024432,C0002199,NEG_PRODUCES,macrophage,Interferon-alpha,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0024432,C0015980,NEG_PRODUCES,macrophage,Interferon-beta,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0024432,C0021758,NEG_PRODUCES,macrophage,Interleukin-4,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0024432,C0021760,NEG_PRODUCES,macrophage,Interleukin-6,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0024432,C0214743,NEG_PRODUCES,macrophage,Interleukin-13,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0024432,C0669372,NEG_PRODUCES,macrophage,"NOS2A protein, human",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0024432,C1413843,NEG_PRODUCES,macrophage,CYBA gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0024432,C1824735,NEG_PRODUCES,macrophage,CHIA gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
