cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003261,C0003272,AFFECTS,Antibody Formation,Antibody-Dependent Cellular Cytotoxicity,celf,celf,1,AFFECTS_CELFafctCELF
C0003261,C1515126,AFFECTS,Antibody Formation,T-Cell Development,celf,celf,1,AFFECTS_CELFafctCELF
C0003272,C0003261,AFFECTS,Antibody-Dependent Cellular Cytotoxicity,Antibody Formation,celf,celf,1,AFFECTS_CELFafctCELF
C0004391,C0003261,AFFECTS,Autophagy,Antibody Formation,celf,celf,1,AFFECTS_CELFafctCELF
C0004391,C0007586,AFFECTS,Autophagy,Cell Cycle,celf,celf,2,AFFECTS_CELFafctCELF
C0004391,C0007587,AFFECTS,Autophagy,Cell Death,celf,celf,7,AFFECTS_CELFafctCELF
C0004391,C0007613,AFFECTS,Autophagy,Cell physiology,celf,celf,8,AFFECTS_CELFafctCELF
C0004391,C0007620,AFFECTS,Autophagy,Cell Survival,celf,celf,1,AFFECTS_CELFafctCELF
C0004391,C0010813,AFFECTS,Autophagy,Cytokinesis,celf,celf,1,AFFECTS_CELFafctCELF
C0004391,C0014139,AFFECTS,Autophagy,Endocytosis,celf,celf,1,AFFECTS_CELFafctCELF
C0004391,C0037083,AFFECTS,Autophagy,Signal Transduction,celf,celf,2,AFFECTS_CELFafctCELF
C0004391,C0162638,AFFECTS,Autophagy,Apoptosis,celf,celf,7,AFFECTS_CELFafctCELF
C0004391,C0206430,AFFECTS,Autophagy,Antigen Processing,celf,celf,1,AFFECTS_CELFafctCELF
C0004391,C0206431,AFFECTS,Autophagy,Antigen Presentation,celf,celf,6,AFFECTS_CELFafctCELF
C0004391,C0599952,AFFECTS,Autophagy,modulation by virus of host morphology or physiology,celf,celf,1,AFFECTS_CELFafctCELF
C0004391,C1156086,AFFECTS,Autophagy,pexophagy,celf,celf,1,AFFECTS_CELFafctCELF
C0004391,C1159342,AFFECTS,Autophagy,Secretory Pathway,celf,celf,1,AFFECTS_CELFafctCELF
C0004391,C1159455,AFFECTS,Autophagy,syncytium formation,celf,celf,2,AFFECTS_CELFafctCELF
C0004391,C1159563,AFFECTS,Autophagy,Cytoplasmic transport,celf,celf,1,AFFECTS_CELFafctCELF
C0004391,C1160466,AFFECTS,Autophagy,conjugation,celf,celf,1,AFFECTS_CELFafctCELF
C0004391,C1160697,AFFECTS,Autophagy,non-lytic viral release,celf,celf,1,AFFECTS_CELFafctCELF
